"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1971","Navigation from login page to registration page","LMS system","Thu Dec 11 10:34:07 UTC 2025","passed","Thu Dec 11 10:34:09 UTC 2025","Authorization","Authentication","",""
"","2110","Registration with correct email, username and password","LMS system","Thu Dec 11 10:34:09 UTC 2025","passed","Thu Dec 11 10:34:11 UTC 2025","Registration","Authentication","",""
"","1911","Check displaying of dashboard page","LMS system","Thu Dec 11 10:34:17 UTC 2025","passed","Thu Dec 11 10:34:19 UTC 2025","Dashboard","Dashboard","",""
"","2832","Check displaying of empty courses list","LMS system","Thu Dec 11 10:34:14 UTC 2025","passed","Thu Dec 11 10:34:17 UTC 2025","Courses","Courses","",""
"","3404","Edit course","LMS system","Thu Dec 11 10:34:17 UTC 2025","passed","Thu Dec 11 10:34:21 UTC 2025","Courses","Courses","",""
"","3552","User login with correct email and password","LMS system","Thu Dec 11 10:34:09 UTC 2025","passed","Thu Dec 11 10:34:13 UTC 2025","Authorization","Authentication","",""
"","1628","Create course","LMS system","Thu Dec 11 10:34:15 UTC 2025","passed","Thu Dec 11 10:34:16 UTC 2025","Courses","Courses","",""
"","2020","User login with wrong email or password","LMS system","Thu Dec 11 10:34:07 UTC 2025","passed","Thu Dec 11 10:34:09 UTC 2025","Authorization","Authentication","",""
