"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3170","User login with correct email and password","LMS system","Mon Dec 08 07:28:25 UTC 2025","passed","Mon Dec 08 07:28:28 UTC 2025","Authorization","Authentication","",""
"","1762","User login with wrong email or password","LMS system","Mon Dec 08 07:28:23 UTC 2025","passed","Mon Dec 08 07:28:25 UTC 2025","Authorization","Authentication","",""
"","1444","Create course","LMS system","Mon Dec 08 07:28:30 UTC 2025","passed","Mon Dec 08 07:28:31 UTC 2025","Courses","Courses","",""
"","1707","Navigation from login page to registration page","LMS system","Mon Dec 08 07:28:23 UTC 2025","passed","Mon Dec 08 07:28:25 UTC 2025","Authorization","Authentication","",""
"","2320","Check displaying of empty courses list","LMS system","Mon Dec 08 07:28:29 UTC 2025","passed","Mon Dec 08 07:28:31 UTC 2025","Courses","Courses","",""
"","2001","Check displaying of dashboard page","LMS system","Mon Dec 08 07:28:32 UTC 2025","passed","Mon Dec 08 07:28:34 UTC 2025","Dashboard","Dashboard","",""
"","1883","Registration with correct email, username and password","LMS system","Mon Dec 08 07:28:25 UTC 2025","passed","Mon Dec 08 07:28:27 UTC 2025","Registration","Authentication","",""
"","3269","Edit course","LMS system","Mon Dec 08 07:28:32 UTC 2025","passed","Mon Dec 08 07:28:35 UTC 2025","Courses","Courses","",""
