"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2417","Registration with correct email, username and password","LMS system","2025-12-02","passed","2025-12-02","Registration","Authentication","",""
"","2919","Edit course","LMS system","2025-12-02","passed","2025-12-02","Courses","Courses","",""
"","3055","User login with correct email and password","LMS system","2025-12-02","passed","2025-12-02","Authorization","Authentication","",""
"","2268","Create course","LMS system","2025-12-02","passed","2025-12-02","Courses","Courses","",""
"","2431","Check displaying of dashboard page","LMS system","2025-12-02","passed","2025-12-02","Dashboard","Dashboard","",""
"","2769","Check displaying of empty courses list","LMS system","2025-12-02","passed","2025-12-02","Courses","Courses","",""
"","2359","Navigation from login page to registration page","LMS system","2025-12-02","passed","2025-12-02","Authorization","Authentication","",""
"","2480","User login with wrong email or password","LMS system","2025-12-02","passed","2025-12-02","Authorization","Authentication","",""
